"File 1","Confidence","Start Line","End Line","File 2","Confidence","Start Line","End Line"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","273","375","data/cool-Blue_ae365cfb13ad972c65f4.html","95","205","307"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","219","265","data/cool-Blue_ae365cfb13ad972c65f4.html","95","152","198"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","1","58","data/cool-Blue_ae365cfb13ad972c65f4.html","95","1","58"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","185","218","data/cool-Blue_ae365cfb13ad972c65f4.html","95","119","151"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","80","119","data/cool-Blue_ae365cfb13ad972c65f4.html","95","79","118"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","59","78","data/cool-Blue_ae365cfb13ad972c65f4.html","95","58","77"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","273","375","data/cool-Blue_ae365cfb13ad972c65f4.html","95","205","307"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","219","265","data/cool-Blue_ae365cfb13ad972c65f4.html","95","152","198"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","1","58","data/cool-Blue_ae365cfb13ad972c65f4.html","95","1","58"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","185","218","data/cool-Blue_ae365cfb13ad972c65f4.html","95","119","151"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","80","119","data/cool-Blue_ae365cfb13ad972c65f4.html","95","79","118"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","59","78","data/cool-Blue_ae365cfb13ad972c65f4.html","95","58","77"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","273","375","data/cool-Blue_ae365cfb13ad972c65f4.html","95","205","307"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","219","265","data/cool-Blue_ae365cfb13ad972c65f4.html","95","152","198"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","1","58","data/cool-Blue_ae365cfb13ad972c65f4.html","95","1","58"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","185","218","data/cool-Blue_ae365cfb13ad972c65f4.html","95","119","151"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","80","119","data/cool-Blue_ae365cfb13ad972c65f4.html","95","79","118"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","59","78","data/cool-Blue_ae365cfb13ad972c65f4.html","95","58","77"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","273","375","data/cool-Blue_ae365cfb13ad972c65f4.html","95","205","307"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","219","265","data/cool-Blue_ae365cfb13ad972c65f4.html","95","152","198"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","1","58","data/cool-Blue_ae365cfb13ad972c65f4.html","95","1","58"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","185","218","data/cool-Blue_ae365cfb13ad972c65f4.html","95","119","151"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","80","119","data/cool-Blue_ae365cfb13ad972c65f4.html","95","79","118"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","59","78","data/cool-Blue_ae365cfb13ad972c65f4.html","95","58","77"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","273","375","data/cool-Blue_ae365cfb13ad972c65f4.html","95","205","307"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","219","265","data/cool-Blue_ae365cfb13ad972c65f4.html","95","152","198"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","1","58","data/cool-Blue_ae365cfb13ad972c65f4.html","95","1","58"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","185","218","data/cool-Blue_ae365cfb13ad972c65f4.html","95","119","151"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","80","119","data/cool-Blue_ae365cfb13ad972c65f4.html","95","79","118"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","59","78","data/cool-Blue_ae365cfb13ad972c65f4.html","95","58","77"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","273","375","data/cool-Blue_ae365cfb13ad972c65f4.html","95","205","307"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","219","265","data/cool-Blue_ae365cfb13ad972c65f4.html","95","152","198"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","1","58","data/cool-Blue_ae365cfb13ad972c65f4.html","95","1","58"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","185","218","data/cool-Blue_ae365cfb13ad972c65f4.html","95","119","151"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","80","119","data/cool-Blue_ae365cfb13ad972c65f4.html","95","79","118"
"data/cool-Blue_37d16cd71dd52bd655b4.html","79","59","78","data/cool-Blue_ae365cfb13ad972c65f4.html","95","58","77"
"data/cool-Blue_7afd8ab920fd01779e01.html","75","189","241","data/cool-Blue_ae365cfb13ad972c65f4.html","72","198","250"
"data/cool-Blue_7afd8ab920fd01779e01.html","75","129","140","data/cool-Blue_ae365cfb13ad972c65f4.html","72","129","140"
"data/cool-Blue_7afd8ab920fd01779e01.html","75","40","57","data/cool-Blue_ae365cfb13ad972c65f4.html","72","44","60"
