"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/773944609/match0.html","data/cool-Blue_37d16cd71dd52bd655b4.html","79","data/cool-Blue_ae365cfb13ad972c65f4.html","95","302"
"http://moss.stanford.edu/results/773944609/match1.html","data/cool-Blue_7afd8ab920fd01779e01.html","75","data/cool-Blue_ae365cfb13ad972c65f4.html","72","219"
"http://moss.stanford.edu/results/773944609/match2.html","data/cool-Blue_37d16cd71dd52bd655b4.html","57","data/cool-Blue_7afd8ab920fd01779e01.html","72","214"
"http://moss.stanford.edu/results/773944609/match3.html","data/ImSraone_216ee9834f42bdfaffae.html","99","data/msqr_3202712.html","99","196"
"http://moss.stanford.edu/results/773944609/match4.html","data/cool-Blue_7afd8ab920fd01779e01.html","45","data/cool-Blue_bd76db6e38915c30fc5b.html","65","151"
"http://moss.stanford.edu/results/773944609/match5.html","data/cool-Blue_37d16cd71dd52bd655b4.html","32","data/cool-Blue_bd76db6e38915c30fc5b.html","58","137"
"http://moss.stanford.edu/results/773944609/match6.html","data/cool-Blue_ae365cfb13ad972c65f4.html","38","data/cool-Blue_bd76db6e38915c30fc5b.html","58","136"
"http://moss.stanford.edu/results/773944609/match7.html","data/fabid_024452c42b94723b401d.html","74","data/fabid_8b6a0277075d770f088a.html","92","108"
"http://moss.stanford.edu/results/773944609/match8.html","data/tmcw_3943324.html","87","data/tmcw_3943330.html","94","71"
"http://moss.stanford.edu/results/773944609/match9.html","data/jwarburg_357d91975a97e9f68208.html","99","data/tmcw_3426132.html","99","55"
"http://moss.stanford.edu/results/773944609/match10.html","data/pnavarrc_4142064.html","69","data/tmcw_3426132.html","82","42"
"http://moss.stanford.edu/results/773944609/match11.html","data/jwarburg_357d91975a97e9f68208.html","82","data/pnavarrc_4142064.html","69","42"
"http://moss.stanford.edu/results/773944609/match12.html","data/emeeks_0d69f4a8c717d5548977.html","54","data/emeeks_37c28b6ff0e01f69b4cd.html","63","70"
"http://moss.stanford.edu/results/773944609/match13.html","data/emeeks_d25690581801fc0c1cfd.html","87","data/jalapic_528b427834c7004dba89.html","77","55"
"http://moss.stanford.edu/results/773944609/match14.html","data/emeeks_0d69f4a8c717d5548977.html","43","data/emeeks_a726210cbc439b969f02.html","39","55"
"http://moss.stanford.edu/results/773944609/match15.html","data/Rico3734_2d06a6aadbb4af3398ba.html","78","data/Rico3734_fa14dff4959ccb0886a9.html","87","43"
"http://moss.stanford.edu/results/773944609/match16.html","data/emeeks_37c28b6ff0e01f69b4cd.html","33","data/emeeks_a726210cbc439b969f02.html","26","35"
"http://moss.stanford.edu/results/773944609/match17.html","data/Rico3734_fa14dff4959ccb0886a9.html","69","data/mbostock_3305937.html","35","16"
"http://moss.stanford.edu/results/773944609/match18.html","data/Rico3734_2d06a6aadbb4af3398ba.html","62","data/mbostock_3305937.html","35","16"
"http://moss.stanford.edu/results/773944609/match19.html","data/fabid_0c4cf357ab5ed3e90382.html","33","data/mbostock_3305937.html","34","20"
"http://moss.stanford.edu/results/773944609/match20.html","data/Rico3734_fa14dff4959ccb0886a9.html","61","data/fabid_0c4cf357ab5ed3e90382.html","30","18"
"http://moss.stanford.edu/results/773944609/match21.html","data/Rico3734_2d06a6aadbb4af3398ba.html","55","data/fabid_0c4cf357ab5ed3e90382.html","30","18"
"http://moss.stanford.edu/results/773944609/match22.html","data/dmijalkovic_52fb07194d4b2988cafb.html","17","data/yassineAlouini_fdbca6ea6f4416e6b328.html","53","13"
"http://moss.stanford.edu/results/773944609/match23.html","data/anatolyg_25fa3e51da9a1ac22e02.html","57","data/yassineAlouini_fdbca6ea6f4416e6b328.html","51","10"
"http://moss.stanford.edu/results/773944609/match24.html","data/fabid_0c4cf357ab5ed3e90382.html","27","data/fabid_8b6a0277075d770f088a.html","15","23"
"http://moss.stanford.edu/results/773944609/match25.html","data/anatolyg_25fa3e51da9a1ac22e02.html","54","data/dmijalkovic_52fb07194d4b2988cafb.html","15","10"
"http://moss.stanford.edu/results/773944609/match26.html","data/fabid_024452c42b94723b401d.html","10","data/fabid_0c4cf357ab5ed3e90382.html","23","19"
"http://moss.stanford.edu/results/773944609/match27.html","data/dmijalkovic_52fb07194d4b2988cafb.html","13","data/mbostock_3305937.html","24","10"
"http://moss.stanford.edu/results/773944609/match28.html","data/diskmanti_bc208f5266e4ffd5484a.html","97","data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","97","11"
"http://moss.stanford.edu/results/773944609/match29.html","data/Rico3734_3a387f8041e1dc31d718.html","97","data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","97","11"
"http://moss.stanford.edu/results/773944609/match30.html","data/Rico3734_3a387f8041e1dc31d718.html","97","data/diskmanti_bc208f5266e4ffd5484a.html","97","11"
"http://moss.stanford.edu/results/773944609/match31.html","data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","6","data/cool-Blue_bd76db6e38915c30fc5b.html","5","8"
"http://moss.stanford.edu/results/773944609/match32.html","data/GitNoise_1768f929ffafb7a2238f7438a866dc37.html","6","data/cool-Blue_ae365cfb13ad972c65f4.html","3","8"
