"File 1","Confidence","Start Line","End Line","File 2","Confidence","Start Line","End Line"
"./data/GerHobbelt_3637711.html","98","1","406","./data/milroc_5480231.html","98","1","406"
"./data/GerHobbelt_3637711.html","98","406","919","./data/milroc_5480231.html","98","406","919"
"./data/GerHobbelt_3637711.html","98","954","999","./data/milroc_5480231.html","98","954","999"
"./data/GerHobbelt_3637711.html","98","999","1051","./data/milroc_5480231.html","98","999","1051"
"./data/GerHobbelt_3637711.html","98","1059","1105","./data/milroc_5480231.html","98","1059","1105"
"./data/GerHobbelt_3637711.html","98","920","953","./data/milroc_5480231.html","98","920","953"
"./data/GerHobbelt_3637711.html","98","1052","1059","./data/milroc_5480231.html","98","1052","1059"
"./data/GerHobbelt_3637711.html","98","1","406","./data/milroc_5480231.html","98","1","406"
"./data/GerHobbelt_3637711.html","98","406","919","./data/milroc_5480231.html","98","406","919"
"./data/GerHobbelt_3637711.html","98","954","999","./data/milroc_5480231.html","98","954","999"
"./data/GerHobbelt_3637711.html","98","999","1051","./data/milroc_5480231.html","98","999","1051"
"./data/GerHobbelt_3637711.html","98","1059","1105","./data/milroc_5480231.html","98","1059","1105"
"./data/GerHobbelt_3637711.html","98","920","953","./data/milroc_5480231.html","98","920","953"
"./data/GerHobbelt_3637711.html","98","1052","1059","./data/milroc_5480231.html","98","1052","1059"
"./data/GerHobbelt_3637711.html","98","1","406","./data/milroc_5480231.html","98","1","406"
"./data/GerHobbelt_3637711.html","98","406","919","./data/milroc_5480231.html","98","406","919"
"./data/GerHobbelt_3637711.html","98","954","999","./data/milroc_5480231.html","98","954","999"
"./data/GerHobbelt_3637711.html","98","999","1051","./data/milroc_5480231.html","98","999","1051"
"./data/GerHobbelt_3637711.html","98","1059","1105","./data/milroc_5480231.html","98","1059","1105"
"./data/GerHobbelt_3637711.html","98","920","953","./data/milroc_5480231.html","98","920","953"
"./data/GerHobbelt_3637711.html","98","1052","1059","./data/milroc_5480231.html","98","1052","1059"
"./data/GerHobbelt_3637711.html","98","1","406","./data/milroc_5480231.html","98","1","406"
"./data/GerHobbelt_3637711.html","98","406","919","./data/milroc_5480231.html","98","406","919"
"./data/GerHobbelt_3637711.html","98","954","999","./data/milroc_5480231.html","98","954","999"
"./data/GerHobbelt_3637711.html","98","999","1051","./data/milroc_5480231.html","98","999","1051"
"./data/GerHobbelt_3637711.html","98","1059","1105","./data/milroc_5480231.html","98","1059","1105"
"./data/GerHobbelt_3637711.html","98","920","953","./data/milroc_5480231.html","98","920","953"
"./data/GerHobbelt_3637711.html","98","1052","1059","./data/milroc_5480231.html","98","1052","1059"
"./data/GerHobbelt_3637711.html","98","1","406","./data/milroc_5480231.html","98","1","406"
"./data/GerHobbelt_3637711.html","98","406","919","./data/milroc_5480231.html","98","406","919"
"./data/GerHobbelt_3637711.html","98","954","999","./data/milroc_5480231.html","98","954","999"
"./data/GerHobbelt_3637711.html","98","999","1051","./data/milroc_5480231.html","98","999","1051"
"./data/GerHobbelt_3637711.html","98","1059","1105","./data/milroc_5480231.html","98","1059","1105"
"./data/GerHobbelt_3637711.html","98","920","953","./data/milroc_5480231.html","98","920","953"
"./data/GerHobbelt_3637711.html","98","1052","1059","./data/milroc_5480231.html","98","1052","1059"
"./data/GerHobbelt_3637711.html","98","1","406","./data/milroc_5480231.html","98","1","406"
"./data/GerHobbelt_3637711.html","98","406","919","./data/milroc_5480231.html","98","406","919"
"./data/GerHobbelt_3637711.html","98","954","999","./data/milroc_5480231.html","98","954","999"
