"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/781444417/match0.html","./data/GerHobbelt_3637711.html","98","./data/milroc_5480231.html","98","1108"
"http://moss.stanford.edu/results/781444417/match1.html","./data/GerHobbelt_3616279.html","98","./data/cool-Blue_04ebde07750d6fdd5d1a.html","98","1077"
"http://moss.stanford.edu/results/781444417/match2.html","./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","./data/milroc_5480231.html","93","1060"
"http://moss.stanford.edu/results/781444417/match3.html","./data/GerHobbelt_3637711.html","93","./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1060"
"http://moss.stanford.edu/results/781444417/match4.html","./data/GerHobbelt_3616279.html","97","./data/milroc_5480231.html","93","1060"
"http://moss.stanford.edu/results/781444417/match5.html","./data/GerHobbelt_3616279.html","97","./data/GerHobbelt_3637711.html","93","1060"
"http://moss.stanford.edu/results/781444417/match6.html","./data/cool-Blue_37d16cd71dd52bd655b4.html","79","./data/cool-Blue_ae365cfb13ad972c65f4.html","94","356"
"http://moss.stanford.edu/results/781444417/match7.html","./data/cool-Blue_7afd8ab920fd01779e01.html","77","./data/cool-Blue_ae365cfb13ad972c65f4.html","74","286"
"http://moss.stanford.edu/results/781444417/match8.html","./data/GerHobbelt_3669455.html","99","./data/GerHobbelt_3683278.html","99","232"
"http://moss.stanford.edu/results/781444417/match9.html","./data/cool-Blue_37d16cd71dd52bd655b4.html","59","./data/cool-Blue_7afd8ab920fd01779e01.html","73","267"
"http://moss.stanford.edu/results/781444417/match10.html","./data/ImSraone_216ee9834f42bdfaffae.html","99","./data/msqr_3202712.html","98","230"
"http://moss.stanford.edu/results/781444417/match11.html","./data/cool-Blue_7afd8ab920fd01779e01.html","51","./data/cool-Blue_bd76db6e38915c30fc5b.html","71","220"
"http://moss.stanford.edu/results/781444417/match12.html","./data/cool-Blue_ae365cfb13ad972c65f4.html","44","./data/cool-Blue_bd76db6e38915c30fc5b.html","63","202"
"http://moss.stanford.edu/results/781444417/match13.html","./data/cool-Blue_37d16cd71dd52bd655b4.html","35","./data/cool-Blue_bd76db6e38915c30fc5b.html","61","189"
"http://moss.stanford.edu/results/781444417/match14.html","./data/fabid_024452c42b94723b401d.html","78","./data/fabid_8b6a0277075d770f088a.html","93","125"
"http://moss.stanford.edu/results/781444417/match15.html","./data/bewest_1571529.html","99","./data/mbostock_900050.html","99","114"
"http://moss.stanford.edu/results/781444417/match16.html","./data/jwarburg_357d91975a97e9f68208.html","99","./data/tmcw_3426132.html","99","84"
"http://moss.stanford.edu/results/781444417/match17.html","./data/tmcw_3943324.html","88","./data/tmcw_3943330.html","94","86"
"http://moss.stanford.edu/results/781444417/match18.html","./data/pnavarrc_4142064.html","79","./data/tmcw_3426132.html","87","69"
"http://moss.stanford.edu/results/781444417/match19.html","./data/jwarburg_357d91975a97e9f68208.html","87","./data/pnavarrc_4142064.html","79","69"
"http://moss.stanford.edu/results/781444417/match20.html","./data/bewest_1157415.html","99","./data/mbostock_899649.html","99","106"
"http://moss.stanford.edu/results/781444417/match21.html","./data/emeeks_0d69f4a8c717d5548977.html","62","./data/emeeks_37c28b6ff0e01f69b4cd.html","70","95"
"http://moss.stanford.edu/results/781444417/match22.html","./data/mbostock_899649.html","75","./data/mbostock_900050.html","64","88"
"http://moss.stanford.edu/results/781444417/match23.html","./data/bewest_1571529.html","64","./data/mbostock_899649.html","75","88"
"http://moss.stanford.edu/results/781444417/match24.html","./data/bewest_1157415.html","75","./data/mbostock_900050.html","64","88"
"http://moss.stanford.edu/results/781444417/match25.html","./data/bewest_1157415.html","75","./data/bewest_1571529.html","64","88"
"http://moss.stanford.edu/results/781444417/match26.html","./data/emeeks_d25690581801fc0c1cfd.html","88","./data/jalapic_528b427834c7004dba89.html","79","80"
"http://moss.stanford.edu/results/781444417/match27.html","./data/emeeks_0d69f4a8c717d5548977.html","56","./data/emeeks_a726210cbc439b969f02.html","49","79"
"http://moss.stanford.edu/results/781444417/match28.html","./data/emeeks_37c28b6ff0e01f69b4cd.html","45","./data/emeeks_a726210cbc439b969f02.html","35","57"
"http://moss.stanford.edu/results/781444417/match29.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","85","./data/Rico3734_fa14dff4959ccb0886a9.html","92","64"
"http://moss.stanford.edu/results/781444417/match30.html","./data/epmoyer_d12ff8e0e07ae985e4e0.html","96","./data/zanarmstrong_6daa5503fc60d4a89a11.html","96","16"
"http://moss.stanford.edu/results/781444417/match31.html","./data/GerHobbelt_3683278.html","12","./data/milroc_5480231.html","2","27"
"http://moss.stanford.edu/results/781444417/match32.html","./data/GerHobbelt_3669455.html","12","./data/milroc_5480231.html","2","27"
"http://moss.stanford.edu/results/781444417/match33.html","./data/GerHobbelt_3637711.html","2","./data/GerHobbelt_3683278.html","12","27"
"http://moss.stanford.edu/results/781444417/match34.html","./data/GerHobbelt_3637711.html","2","./data/GerHobbelt_3669455.html","12","27"
"http://moss.stanford.edu/results/781444417/match35.html","./data/peripherie_2a2165ef2225a2d322fc.html","34","./data/uafrazier_02bf9bd5b3ff614ccc42.html","18","48"
